Public Food Key,Classification,Category,Categoría,Food Name,Nombre en español,"Energy, with dietary fibre (kJ)","Energy, with dietary fibre (kcal)","Energy, without dietary fibre (kJ)","Energy, without dietary fibre (kcal)",Moisture (water) (g),Protein (g),Nitrogen (g),Total fat (g),Ash (g),Total dietary fibre (g),Alcohol (g),Fructose (g),Glucose (g),Sucrose (g),Maltose (g),Lactose (g),Galactose (g),Maltotriose (g),Total sugars (g),Added sugars (g),Free sugars (g),Starch (g),Dextrin (g),Glycerol (g),Glycogen (g),Inulin (g),Mannitol (g),Maltodextrin (g),Oligosaccharides (g),Raffinose (g),Stachyose (g),Sorbitol (g),Resistant starch (g),"Available carbohydrate, without sugar alcohols (g)","Available carbohydrate, with sugar alcohols (g)",Acetic acid (g),Citric acid (g),Fumaric acid (g),Lactic acid (g),Malic acid (g),Oxalic acid (g),Propionic acid (g),Quinic acid (g),Succinic acid (g),Tartaric acid (g),Aluminium (Al) (ug),Antimony (Sb) (ug),Arsenic (As) (ug),Cadmium (Cd) (ug),Calcium (Ca) (mg),Chromium (Cr) (ug),Chloride (Cl) (mg),Cobalt (Co) (ug),Copper (Cu) (mg),Fluoride (F) (ug),Iodine (I) (ug),Iron (Fe) (mg),Lead (Pb) (ug),Magnesium (Mg) (mg),Manganese (Mn) (mg),Mercury (Hg) (ug),Molybdenum (Mo) (ug),Nickel (Ni) (ug),Phosphorus (P) (mg),Potassium (K) (mg),Selenium (Se) (ug),Sodium (Na) (mg),Sulphur (S) (mg),Tin (Sn) (ug),Zinc (Zn) (mg),Retinol (preformed vitamin A) (ug),Alpha-carotene (ug),Beta-carotene (ug),Cryptoxanthin (ug),Beta-carotene equivalents (provitamin A) (ug),Vitamin A retinol equivalents (ug),Lutein (ug),Lycopene (ug),Xanthophyl (ug),Thiamin (B1) (mg),Riboflavin (B2) (mg),Niacin (B3) (mg),Niacin derived from tryptophan (mg),Niacin derived equivalents (mg),Pantothenic acid (B5) (mg),Pyridoxine (B6) (mg),Biotin (B7) (ug),Cobalamin (B12) (ug),"Folate, natural (ug)",Folic acid (ug),Total folates (ug),Dietary folate equivalents (ug),Vitamin C (mg),Cholecalciferol (D3) (ug),Ergocalciferol (D2) (ug),25-hydroxy cholecalciferol (25-OH D3 (ug),25-hydroxy ergocalciferol (25-OH D2) (ug),Vitamin D3 equivalents (ug),Alpha tocopherol (mg),Alpha tocotrienol (mg),Beta tocopherol (mg),Beta tocotrienol (mg),Delta tocopherol (mg),Delta tocotrienol (mg),Gamma tocopherol (mg),Gamma tocotrienol (mg),Vitamin E (mg),C4 (%),,C6 (%),,C8 (%),,C10 (%),,C11 (%),,C12 (%),,C13 (%),,C14 (%),,C15 (%),,C16 (%),,C17 (%),,C18 (%),,C19 (%),,C20 (%),,C21 (%),,C22 (%),,C23 (%),,C24 (%),,Total saturated fatty acids (%),,C12:1 (%),,C14:1 (%),,C15:1 (%),,C16:1 (%),,C17:1 (%),,C18:1 (%),,C20:1 (%),,C22:1 (%),,C24:1 (%),,Total monounsaturated fatty acids (%),,C16:2w4 (%),,C16:3 (%),,C18:2w6 (%),,C18:3w3 (%),,C18:3w4 (%),,C18:3w6 (%),,C18:4w1 (%),,C18:4w3 (%),,C20:2w6 (%),,C20:3w3 (%),,C20:3w6 (%),,C20:4w3 (%),,C20:4w6 (%),,C20:5w3 (%),,C22:2w6 (%),,C22:4w6 (%),,C22:5w3 (%),,C22:5w6 (%),,C22:6w3 (%),,Other polyunsaturated fatty acids (%),,Total polyunsaturated fatty acids (%),,Total long chain omega 3 fatty acids (%),,Total undifferentiated fatty acids (%),,Total trans fatty acids (%),,Caffeine (mg),Cholesterol (mg),Tryptophan (mg/g N),,Alanine (mg/g N),,Arginine (mg/g N),,Aspartic acid (mg/g N),,Cystine plus cysteine (mg/g N),,Glutamic acid (mg/g N),,Glycine (mg/g N),,Histidine (mg/g N),,Isoleucine (mg/g N),,Leucine (mg/g N),,Lysine (mg/g N),,Methionine (mg/g N),,Phenylalanine (mg/g N),,Proline (mg/g N),,Serine (mg/g N),,Threonine (mg/g N),,Tyrosine (mg/g N),,Valine (mg/g N),,wiki,wiki (es)
F005370,14301,"Polyunsaturated margarine spreads, fat content ≥ 65g/100g","margarina para untar poliinsaturados, el contenido de grasa ≥ 65 g / 100 g","Margarine spread, polyunsaturated (70% fat)","propagación margarina, poliinsaturados (70% de grasa)",2552,610,2552,610,30,0,0,69,1.8,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,0,0,0,0,,0,0,,0,0,,,,,,,7,0.5,,,0,,3,0,,1,0,,0,24,8,24,0,562,,,0.02,650,0,390,0,390,715,,,,0,0,0,0,0,0,0,,0,4,0,4,4,0,6.5,1,0,0,7.43,33.5,,0.6,,0.4,,9,,34.68,0,0,0,0,0.2,0.16,0.2,0.13,0,0,2.9,1.89,0,0,1.1,0.71,0,0,10,6.62,0,0.02,7.2,4.78,0,0,0.3,0.17,0,0,0.3,0.22,0,0,0.2,0.1,22.44,14.79,,,0,0.02,0,0,0.1,0.05,0,0.02,32.1,21.14,0.3,0.2,0,0,0.2,0.11,32.67,21.53,,,,,41.4,27.32,3,1.95,,,0,0,,,1.1,725.18,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,0,0,,,45.5,30,0,0,,,0.2,148.33,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Semi-solid oily spread often used as a butter substitute,término genérico para denominar distintos tipos de grasas usadas en sustitución de la mantequilla
F005373,14301,"Polyunsaturated margarine spreads, fat content ≥ 65g/100g","margarina para untar poliinsaturados, el contenido de grasa ≥ 65 g / 100 g","Margarine spread, polyunsaturated (70% fat), reduced salt (sodium 280 mg/100 g)","propagación Margarina, poliinsaturados (70% de grasa), la reducción de sal (de sodio 280 mg / 100 g)",2636,630,2636,630,27.4,1,0.16,70.8,0.9,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,0,0,0,0,,0,0,,0,0,,,,0,0,0,3,0.8,500,,0.002,,0.3,0.01,0,1,0,0,0,24,4,18,0.3,283,,0.9,0.04,770,0,470,0,470,848,,,,0,0,0,0,0,0,0,,0,5,0,5,5,0,6.5,1,0,0,7.43,8,,0.2,,,,1.4,,8.19,0,0,0,0,0.4,0.26,0.3,0.22,,,4.6,3.09,0,0,1.7,1.18,0,0,10.4,7.05,0,0.01,7.5,5.05,0,0,0.2,0.15,,,0.5,0.34,,,0,0,25.62,17.34,,,0,0,0,0,0.1,0.1,0,0,29.6,20.06,0.3,0.18,0,0,0,0,30.04,20.33,,,,,41.8,28.26,2.4,1.6,,,0,0,,,0.6,405.99,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,0,0,,,44.72,30.26,0,0,,,0.3,203,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Semi-solid oily spread often used as a butter substitute,término genérico para denominar distintos tipos de grasas usadas en sustitución de la mantequilla
F005322,14303,"Monounsaturated margarine spreads, fat content ≥65 g/100g","margarina para untar monoinsaturados, contenido de grasa ≥65 g / 100 g","Margarine spread, monounsaturated (80% fat), rice bran oil, unfortified","propagación Margarina, monoinsaturados (80% de grasa), aceite de salvado de arroz, sin fortificar",3003,718,3003,718,17.2,0.3,0.05,81,1.5,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,0,0,0,0,,0,0,,0,0,,,,0,0,0,7,0.5,,,0.001,17,4.4,0,0,1,0,0,0,24,8,20,0,580,0,0.9,0.04,0,0,417,0,417,69,,,,0,0,0,0,0,0,0,,0,4,0,4,4,0,0,0,0,0,0,13.5,,0.2,,0.2,,24.5,,16.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.25,21.88,,,,,,,,,,,,,,,,,,,40,30.97,,,,,20.5,15.85,10.5,8.13,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,0,0,,,30.96,23.98,0,0,,,0.9,680.66,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Semi-solid oily spread often used as a butter substitute,término genérico para denominar distintos tipos de grasas usadas en sustitución de la mantequilla
F005319,14306,Margarine spreads with added phytosterols,margarina para untar con fitosteroles,"Margarine spread, monounsaturated (70% fat), reduced salt (sodium 350 mg/100 g), added phytosterols","propagación Margarina, monoinsaturados (70% de grasa), sal reducida (de sodio 350 mg / 100 g), fitosteroles añadidos",2820,674,2820,674,22.5,0.7,0.11,75.9,0.9,0,0,,,,,,,,0,0,0,0,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,3,,,,,,4,0.01,,1,,,,,4,18,0.3,356,,,0.04,770,,470,,470,848,,,,0,0,0,0,0,,0,,0,5,0,5,5,0,6.5,1,0,0,7.43,3.1,,,,,,,,3.06,0,0,0,0,0.2,0.14,0.3,0.22,,,4.1,2.98,0,0,1.7,1.23,0,0,9.5,6.89,0,0,6.3,4.57,0,0,0.5,0.36,,,0.2,0.14,,,0.1,0.07,22.9,16.62,,,0,0,0,0,0.2,0.14,0,0,49.4,35.84,0.8,0.58,0,0,0.1,0.07,50.5,36.64,,,,,17.4,12.63,8.4,6.1,,,0,0,,,0,0,0,0,0,0,0,0,,,0.2,145.12,0,0,,,0,0,0,0,,,0,0,,,26,18.87,0,0,,,0.7,507.92,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Semi-solid oily spread often used as a butter substitute,término genérico para denominar distintos tipos de grasas usadas en sustitución de la mantequilla
F005309,14303,"Monounsaturated margarine spreads, fat content ≥65 g/100g","margarina para untar monoinsaturados, contenido de grasa ≥65 g / 100 g","Margarine spread, monounsaturated (greater than 65% fat)","propagación margarina, monoinsaturados (superior al 65% de grasa)",2500,598,2500,598,30.5,0.5,0.08,67.3,1.3,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,0,0,0,0,,0,0,,0,0,,,,0,0,0,7,0.5,,,0.001,17,4,0,0,1,0,0,0,24,8,20,0,795,0,0.9,0.04,607,0,417,0,417,676,,,,0,0,0,0,0,0,0,,0,4,0,4,4,0,6.5,1,0,0,7.43,13.5,,0.2,,0.2,,24.5,,16.08,0,0,0,0,0.3,0.17,0.2,0.16,0,0,3.7,2.37,0,0,1.8,1.14,0,0,9.7,6.21,0,0.01,6.8,4.37,0,0,0.4,0.27,0,0,0.2,0.11,0,0,0.1,0.04,23.1,14.86,,,0,0,0,0,0.2,0.1,0,0.02,49.4,31.79,0.5,0.3,0,0,0.1,0.09,50.18,32.3,,,,,18,11.56,8,5.15,,,0,23.08,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,0,0,,,26,16.73,0,0,,,0.9,565.77,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Semi-solid oily spread often used as a butter substitute,término genérico para denominar distintos tipos de grasas usadas en sustitución de la mantequilla
F005310,14303,"Monounsaturated margarine spreads, fat content ≥65 g/100g","margarina para untar monoinsaturados, contenido de grasa ≥65 g / 100 g","Margarine spread, monounsaturated (greater than 65% fat), reduced salt (sodium 360 mg/100 g)","propagación Margarina, monoinsaturadas (mayor de 65% de grasa), la reducción de sal (de sodio 360 mg / 100 g)",2565,613,2565,613,27.4,1,0.16,68.9,0.9,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,0,0,0,0,,0,0,,0,0,,,,0,0,0,3,0.8,500,,0.002,,2.4,0.01,0,1,0,0,0,24,4,18,0.3,362,,0.9,0.04,770,0,470,0,470,848,,,,0,0,0,0,0,0,0,,0,5,0,5,5,0,5.8,0,0,0,5.8,3.1,,0.1,,,,2.2,,3.32,0,0,0,0,0.3,0.21,0.3,0.17,,,4,2.62,0,0,1.6,1.02,0,0,10.8,7.13,0,0.01,6.5,4.25,0,0,0.4,0.23,,,0.2,0.14,,,0.1,0.04,24.05,15.83,,,0,0,0,0,0.2,0.14,0,0,50.1,33.01,0.8,0.5,0,0,0,0.02,51.15,33.67,,,,,17,11.18,7.2,4.73,,,0,0,,,0.3,175.55,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,0,0,,,24.43,16.08,0,0,,,0.9,566.16,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Semi-solid oily spread often used as a butter substitute,término genérico para denominar distintos tipos de grasas usadas en sustitución de la mantequilla
F005352,14304,"Monounsaturated margarine spreads,fat content <65 g/100g","diferenciales monoinsaturados margarina, contenido de grasa <65 g / 100g","Margarine spread, monounsaturated, reduced fat (55% fat) & salt (sodium 380 mg/100 g)","propagación Margarina, monoinsaturada, la reducción de grasa (55% de grasa) y sal (de sodio 380 mg / 100 g)",1922,459,1922,459,44.7,1,0.16,51.5,0.9,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,0,0,0,0,,0,0,,0,0,,,,0,0,0,3,0.8,500,,0.002,,1.7,0.01,0,1,0,0,0,24,4,18,0.3,338,,0.9,0.04,770,0,470,0,470,848,,,,0,0,0,0,0,0,0,,0,5,0,5,5,0,6.5,1,0,0,7.43,4,,0,,,,4,,4.4,0,0,0,0,0.4,0.17,0.3,0.15,,,4.5,2.22,0,0,1.7,0.84,0,0,9.2,4.5,0,0.02,6.7,3.3,0,0,0.4,0.2,,,0.2,0.1,,,0,0.02,23.4,11.52,,,0,0,0,0,0.2,0.1,0,0.02,49.6,24.42,0.8,0.39,0,0,0,0.02,50.7,24.96,,,,,16.6,8.2,8.2,4.06,,,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,0,0,,,24.9,12.26,0,0,,,1.5,738.51,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Semi-solid oily spread often used as a butter substitute,término genérico para denominar distintos tipos de grasas usadas en sustitución de la mantequilla
F005345,14304,"Monounsaturated margarine spreads,fat content <65 g/100g","diferenciales monoinsaturados margarina, contenido de grasa <65 g / 100g","Margarine spread, monounsaturated, reduced fat (less than 65% fat)","Margarina propagación, monoinsaturados, la reducción de grasa (menos del 65% de grasa)",2342,560,2342,560,33.2,0.5,0.08,63.1,1.4,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,0,0,0,0,,0,0,,0,0,,,,0,0,0,3,0.8,500,,0.002,,4.2,0.01,0,1,0,0,0,24,4,64,0.3,592,,0.9,0.04,770,0,470,0,470,848,,,,0,0,0,0,0,0,0,,0,5,0,5,5,0,6.5,1,0,0,7.43,3.1,,0.1,,,,2.2,,3.32,0,0,0,0,0.2,0.15,0.2,0.11,,,3,1.83,0,0,1.2,0.75,0,0,10.9,6.6,0,0,6.3,3.81,0,0,0.5,0.29,,,0.2,0.12,,,0.1,0.05,22.75,13.72,,,0,0,0,0,0.2,0.12,0,0,52,31.39,0.7,0.42,0,0,0,0.03,52.98,31.95,,,,,15.5,9.32,6.9,4.16,,,0,0,,,0.3,161.01,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,0,0,,,22.62,13.64,0,0,,,0.9,522.24,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Semi-solid oily spread often used as a butter substitute,término genérico para denominar distintos tipos de grasas usadas en sustitución de la mantequilla
F005361,14304,"Monounsaturated margarine spreads,fat content <65 g/100g","diferenciales monoinsaturados margarina, contenido de grasa <65 g / 100g","Margarine spread, olive oil blend (65% fat), reduced salt (sodium 360mg/100 g)","propagación Margarina, mezcla de aceite de oliva (65% de grasa), sal reducida (de sodio 360 mg / 100 g)",2407,575,2407,575,33,1,0.16,64.6,0.9,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,0,0,0,0,,0,0,,0,0,,,,0,0,0,3,0.8,500,,0.002,,2.4,0.01,0,1,0,0,0,24,4,41,0.3,355,,0.9,0.04,770,0,470,0,470,848,,,,0,0,0,0,0,0,0,,0,5,0,5,5,0,0,0,0,0,0,3.1,,0.1,,,,2.2,,3.32,0,0,0,0,0.3,0.21,0.3,0.18,,,4.5,2.78,0,0,1.7,1.06,0,0,11.5,7.11,0,0,7.4,4.54,0,0,0.4,0.22,,,0.3,0.17,,,0.1,0.05,26.42,16.32,,,0,0,0,0,0.2,0.15,0,0,43.9,27.1,0.5,0.28,0,0,0,0.01,44.58,27.54,,,,,24.6,15.21,3.5,2.14,,,0,0,,,0.3,164.89,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,0,0,,,28.36,17.51,0,0,,,0.9,531.12,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Semi-solid oily spread often used as a butter substitute,término genérico para denominar distintos tipos de grasas usadas en sustitución de la mantequilla
F006154,14402,Monounsaturated oils ,aceites monoinsaturados,"Oil, almond","Aceite, almendra",3404,814,3404,814,0,0,0,92,0,0,0,,,,,,,,0,0,0,0,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,0,0,,0,,,,,0,0,0,0,,,0,0,,0,,0,0,,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,24.5,,,,,,,,24.47,,,,,,,0,0,,,0,0,,,0,0,0,0,5.5,5.28,0.1,0.09,0.1,0.09,,,0,0,,,0,0,,,0.1,0.09,5.8,5.54,,,,,0,0,0.3,0.26,0,0,62.3,59.54,0.1,0.09,0.1,0.09,,,62.74,59.98,,,,,23.4,22.34,0,0,,,,,,,,,,,0,0,,,,,0,0,0,0,,,,,0,0,,,0,0,,,23.37,22.34,0,0,,,1.7,1605.12,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,naturally occurring flammable liquid,mezcla homogénea de compuestos orgánicos de color negro
F006155,14402,Monounsaturated oils ,aceites monoinsaturados,"Oil, blend of monounsaturated vegetable oils","Aceite, mezcla de aceites vegetales monoinsaturados",3404,814,3404,814,0,0,0,92,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,0,0.01,,0,,,,,0,0,0,0,,,0.01,0,,0,,0,0,,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,12.9,,,,,,,,12.88,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,4.1,3.96,0,0.04,1.7,1.63,0,0,0.5,0.44,,,0.2,0.18,,,0.1,0.09,6.62,6.33,,,0,0,0,0,0.2,0.18,0,0.04,54.3,51.94,1,0.92,0,0,0.2,0.18,55.71,53.26,,,,,18.8,17.99,9.5,9.1,,,0,0,,,0,43.98,0,0,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,,,28.38,27.13,0,0,,,1.3,1231.33,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,naturally occurring flammable liquid,mezcla homogénea de compuestos orgánicos de color negro
F006156,14401,Polyunsaturated oils ,aceites poliinsaturados,"Oil, blend of polyunsaturated vegetable oils","Aceite, mezcla de aceites vegetales poliinsaturados",3404,814,3404,814,0,0,0,92,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,0,0,,,,,,,,,,,,0,0.8,0,0,,4,,0.006,0,0,0.01,0,0,0,0,,,0,0,0,0,0,0,0.01,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.9,,,,25.8,,47.8,,17.66,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0.04,0,0,8.9,8.53,0,0.04,3.8,3.61,0,0,0.4,0.35,,,0.4,0.35,,,0.1,0.09,13.62,13.02,,,0,0,0,0,0.1,0.09,0,0.04,25.5,24.36,0.4,0.35,0.1,0.09,0,0,26.08,24.94,,,,,44.4,42.44,5.8,5.5,,,0.1,131.93,,,0.3,263.86,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,0,0,,,50.55,48.33,0,0,,,2.9,2726.51,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,naturally occurring flammable liquid,mezcla homogénea de compuestos orgánicos de color negro
F006159,14402,Monounsaturated oils ,aceites monoinsaturados,"Oil, canola",Aceite de canola,3404,814,3404,814,0,0,0,92,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,0,0,,,,,,,,,,,62.6,,0,0,1,6.9,4,,0,8.28,0,0,0,0,0,0,0,5,0,0,0,0,2,,0.04,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.2,,9.4,,0.3,,32,,24.13,0,0,0,0,0,0.02,0,0,0,0,0.1,0.14,0,0,0.2,0.19,0,0,4.1,3.9,0,0,1.9,1.81,,,0.4,0.43,0,0,0.2,0.16,0,0,0.1,0.07,7.02,6.71,,,0.1,0.06,0,0,0.1,0.12,0,0.02,55.8,53.32,0.9,0.9,0,0,0.2,0.2,57.12,54.61,,,,,18.4,17.61,8.8,8.37,,,0.2,236.74,,,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,0,0,,,27.42,26.22,0,0,,,0,26.39,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,naturally occurring flammable liquid,mezcla homogénea de compuestos orgánicos de color negro
F006166,14401,Polyunsaturated oils ,aceites poliinsaturados,"Oil, cottonseed",Aceite de semilla de algodón,3404,814,3404,814,0,0,0,92,0,0,0,,,,,,,,0,0,0,0,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,0,0,,0,,,,,0,0,0,0,,,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,32.5,,,,,,,,32.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.92,23.83,,,,,,,,,,,,,,,,,,,17.13,16.38,,,,,49.6,47.38,0.2,0.18,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,0,0,0.1,0.09,49.85,47.66,0,0,,,1.3,1231.33,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,naturally occurring flammable liquid,mezcla homogénea de compuestos orgánicos de color negro
F006165,14502,Vegetable-based solid fats,grasas sólidas a base de vegetales,"Oil, copha","Petróleo, copha",3404,814,3404,814,0,0.2,0.03,91.9,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,,0,,0,0.02,0,0,,0,0,,,,0,1,0,1,0,,0,0,0,0,0,0,0,,,,0,0,0.24,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,,0.6,0.61,7.4,6.93,5.8,5.46,,,43.4,40.86,,,15.7,14.8,0,0,8.4,7.88,0,0,9,8.48,,,0,0,,,0,0,,,0,0,90.34,85.02,,,0,0,0,0,0,0,0,0,1.4,1.3,0,0,0,0,,,1.38,1.3,,,,,0.3,0.26,0,0,,,,,,,,,,,0,0,,,,,0,0,0,0,,,,,0,0,,,0,0,,,0.28,0.26,0,0,,,0,25.97,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,naturally occurring flammable liquid,mezcla homogénea de compuestos orgánicos de color negro
F006167,14401,Polyunsaturated oils ,aceites poliinsaturados,"Oil, grapeseed","Aceite, semilla de uva",3404,814,3404,814,0,0,0,92,0,0,0,,,0,,,,,0,0,0,0,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,0,0,,0,,,,,0,0,0,0,,,0.01,0,,0,,0,0,,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,2.1,,,,,,,,2.12,0,0,0,0,0,0,0,0,,,0,0,,,0,0,0,0,7,6.68,0,0,3.8,3.61,,,0.1,0.09,,,0.1,0.09,,,0,0,10.95,10.47,,,0,0,,,0.1,0.09,,,19,18.21,0.1,0.09,0,0,0,0,19.23,18.38,,,,,61.4,58.66,0.3,0.26,,,0,0,,,,,0,0,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,,,61.64,58.93,0,0,,,2.1,1978.92,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,naturally occurring flammable liquid,mezcla homogénea de compuestos orgánicos de color negro
F006168,14401,Polyunsaturated oils ,aceites poliinsaturados,"Oil, linseed or flaxseed","Oleaginosa, lino o linaza",3403,813,3403,813,0.1,0,0,92,0,0,0,,,,,,,,0,0,0,0,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,1,,,,,,0,0,,0,,,,,1,0,0,0,,,0.06,0,0,0,,0,0,,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0.4,,0.5,,1.5,,26.5,,3.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.67,8.29,,,,,,,,,,,,,,,,,,,17.81,17.02,,,,,13.6,13.01,52.5,50.21,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,0,0,0.15,0.14,66.3,63.37,0,0,,,0.1,87.06,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,naturally occurring flammable liquid,mezcla homogénea de compuestos orgánicos de color negro
F006172,14402,Monounsaturated oils ,aceites monoinsaturados,"Oil, mustard seed","Aceite, semilla de mostaza",3404,814,3404,814,0,0,0,92,0,0,0,,,,,,,,0,0,0,0,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,0,0,,0,,,,,0,0,0,0,,,0,0,,0,,0,0,,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,12.9,,,,,,,,12.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.58,11.07,,,,,,,,,,,,,,,,,,,59.19,56.58,,,,,15.3,14.66,5.9,5.64,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,0,0,,,21.23,20.3,0,0,,,1.3,1231.33,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,naturally occurring flammable liquid,mezcla homogénea de compuestos orgánicos de color negro
F006169,14402,Monounsaturated oils ,aceites monoinsaturados,"Oil, macadamia",Aceite de macadamia,3404,814,3404,814,0,0,0,92,0,0,0,,,,,,,,0,0,0,0,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,0,0,,0,,,,,0,0,0,0,,,0,0,,0,,0,0,,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,12.9,,,,,,,,12.88,,,,,,,,,,,,,,,0.6,0.62,,,7.6,7.3,,,2.1,2.02,,,1.8,1.76,,,0.6,0.53,,,0.3,0.26,13.06,12.49,,,,,,,16,15.3,,,59.9,57.26,1.5,1.41,0.2,0.18,,,77.56,74.14,,,,,1.2,1.14,0,0,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,0,0,,,1.2,1.14,0,0,,,2.1,1978.92,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,naturally occurring flammable liquid,mezcla homogénea de compuestos orgánicos de color negro
